min_df,max_df,max_features,accuracy
0.5020793417911645,0.7052887023505345,889,0.6857142857142858
0.300827546114806,0.7202372893335053,866,0.7650000000000001
0.4157129673952386,0.7619705314792153,998,0.7357142857142858
0.10979263106610954,0.329088959383566,1161,0.8328571428571429
0.14511103441908002,0.47512889996890423,1130,0.7692857142857142
0.26448930682554433,0.9964612364554453,1382,0.7507142857142858
0.5209417317437524,0.6818052502658849,709,0.6714285714285714
0.2686142608794001,0.5499546824289915,1193,0.7542857142857144
0.7321861328268048,0.8468116171289884,838,0.5507142857142856
0.6530491784186209,0.8113975709644299,412,0.5764285714285713
0.6905386195415789,0.7461224916101354,566,0.5671428571428572
0.33217449845657115,0.8878512494500042,292,0.7350000000000001
0.047742414235132924,0.2781687556431574,331,0.8257142857142857
0.03320026246827512,0.09575535764147847,1365,0.8042857142857142
0.15690566500035552,0.3363026258017757,812,0.7714285714285715
0.07132362548811799,0.9493906581837989,80,0.767142857142857
0.5749999261000678,0.8442528694552633,1318,0.6921428571428573
0.0036527299378623646,0.962937005011409,140,0.7842857142857141
0.24151417364866345,0.5698859907727162,57,0.7264285714285715
0.11129203748110844,0.514059419760893,349,0.8364285714285714
0.21285476340397702,0.7872082321166769,1230,0.7714285714285715
0.7359903611821925,0.8921597812472266,679,0.5392857142857143
0.2473065951861611,0.39813325170893976,494,0.7364285714285714
0.2868032722720479,0.3302089247790782,324,0.6971428571428571
0.5005436535930495,0.7052887023505345,417,0.6857142857142858
0.4157129673952386,0.5170281666107003,616,0.5878571428571427
0.5114487277337464,0.9964612364554453,1382,0.6985714285714286
0.38511833860103073,0.6210725627655262,597,0.7307142857142858
0.0360912165411148,0.6818052502658849,709,0.842142857142857
0.2420503845094063,0.6441037984611742,1140,0.7692857142857142
0.6268516758752174,0.8619496215443951,171,0.5764285714285713
0.31212769342650115,0.732721469219805,1025,0.7535714285714283
0.10071862816601462,0.8533333867229328,851,0.8335714285714286
0.078989986502767,0.9529818459833104,293,0.8378571428571429
0.2658759375646355,0.8708547560175594,987,0.7614285714285713
0.38721779367878983,0.6323936029951136,677,0.7307142857142858
0.14584615839281462,0.7385009979492718,930,0.7878571428571427
0.26550646731848604,0.8197157849841423,331,0.7507142857142858
0.12685250901801176,0.8477238188233549,1263,0.84
0.15690566500035552,0.3363026258017757,528,0.7714285714285715
0.38427934747242987,0.9087349612472541,540,0.7428571428571429
0.6131266771705176,0.7526303937069981,156,0.5528571428571428
0.109225757944866,0.24505916661686394,251,0.8121428571428572
0.2855398445312657,0.7814140347829341,656,0.7678571428571426
0.445140249107539,0.6599541385662527,1301,0.6985714285714286
0.3326057320365532,0.7550329355497217,995,0.72
0.46121549218059377,0.5223837125462215,422,0.5585714285714285
0.0790263786977694,0.7008027263987922,268,0.8364285714285714
0.28931951532174005,0.7024650788975971,513,0.7614285714285713
0.29766544414529617,0.7370422630736855,908,0.755
0.20095910302105185,0.6008924675740439,480,0.7842857142857144
0.007193941866265874,0.7789351623956332,1179,0.8514285714285713
0.0566642234783557,0.8988601317212455,569,0.8407142857142856
0.04481444182634753,0.9522439051904839,1234,0.8507142857142858
0.05447783020382013,0.3302089247790782,1140,0.8457142857142858
0.5005436535930495,0.7835294919929848,1207,0.6985714285714286
0.0049032083010525085,0.529725584961995,1284,0.8414285714285714
0.24589572080615663,0.9632561816715159,1010,0.7628571428571429
0.5296104697942717,0.7481686993825718,998,0.6985714285714286
0.23543617685309914,0.8718393390048625,774,0.7907142857142858
0.006610203271275261,0.8355884905046516,1010,0.8492857142857141
0.14511103441908002,0.8078453741713487,1130,0.7892857142857144
0.22803754726161074,0.6843711798359773,1360,0.7692857142857142
0.16019458774347772,0.7728215388728107,1025,0.7964285714285715
0.2935025293363976,0.9721309536286029,1140,0.7564285714285716
0.6268516758752174,0.9839286933055889,781,0.5764285714285713
0.00352083732066949,0.9054048005793103,975,0.8407142857142859
0.4423425692071874,0.7319365013975285,416,0.7185714285714286
0.5421137192890989,0.8988540861390062,837,0.7007142857142857
0.33217449845657115,0.763459027858272,647,0.72
0.38721779367878983,0.714953186036539,677,0.7392857142857143
0.3780041292855292,0.7466513585254732,1069,0.7378571428571429
0.3088962052408809,0.8050351889323666,973,0.7578571428571428
0.12685250901801176,0.7465250695172466,477,0.8385714285714284
0.2672934704386486,0.8880003140727649,1209,0.7657142857142857
0.1346366752148193,0.7482408062615482,528,0.8257142857142856
0.34748051444452566,0.8021997780417605,1329,0.7342857142857144
0.31523807919413127,0.6628762792166294,1349,0.7464285714285713
0.2593282422866688,0.6364630258090801,758,0.7671428571428571
0.06474281102590351,0.2126577861045592,177,0.8092857142857143
0.2170750003771864,0.6043422579289284,1059,0.775
0.09150458610116174,0.7781250750834777,1167,0.8364285714285714
0.01663486630860267,0.7425545930965738,1015,0.8557142857142856
0.29060949227673616,0.7451059875802212,1031,0.7635714285714285
0.1298933504383164,0.7008027263987922,881,0.8407142857142856
0.0588545254918153,0.8254683036903732,1004,0.8514285714285715
0.10371299126281575,0.21429534131663508,746,0.8057142857142858
0.001868461566071955,0.7833183759271579,818,0.8478571428571428
0.32485508948883735,0.7370422630736855,959,0.7264285714285715
0.14843609796683743,0.7700031844989607,480,0.7985714285714285
0.11986879206175727,0.8624735168399468,709,0.8499999999999999
0.21285476340397702,0.5436746857094407,431,0.7557142857142858
0.156902136792187,0.7240687947192013,1098,0.7935714285714285
0.08194304399763608,0.9191854762557669,401,0.8485714285714283
0.05447783020382013,0.440582374060842,237,0.8407142857142856
0.1783285176426314,0.8546180747389809,1071,0.7849999999999999
0.09447189910275144,0.6670920125333056,336,0.8478571428571428
0.300827546114806,0.8276615664891479,952,0.7607142857142857
0.4157129673952386,0.6413862905006489,1187,0.7128571428571429
0.1370645987262159,0.8718393390048625,1260,0.8221428571428572
0.006610203271275261,0.7210178645919275,1042,0.8442857142857142
0.17987435647824868,0.8350153914288637,549,0.7935714285714286
0.13668791380875184,0.6838150746069506,977,0.8185714285714285
0.11340696555218893,0.7182314787522422,1222,0.8435714285714283
0.2420503845094063,0.6441037984611742,814,0.7692857142857142
