min_df,max_df,max_features,accuracy
0.6212996677946686,0.7136047772986127,1159,0.5492857142857143
0.7261280685098794,0.7558557748341683,1266,0.5585714285714285
0.015422025796901995,0.6944959303377022,876,0.8221428571428571
0.023043232349143405,0.9043657177483133,1244,0.8307142857142857
0.218746567459994,0.7503879759943195,1126,0.7757142857142857
0.6523488868002434,0.783133245646626,250,0.5692857142857142
0.1249250699333031,0.5093998203754825,285,0.8035714285714287
0.059503161308204544,0.6495516301870096,665,0.8342857142857143
0.4988034610233585,0.9556919768004426,732,0.6992857142857143
0.47620153536905174,0.625763087925915,795,0.6992857142857143
0.14105908674004125,0.401907736231512,1347,0.7885714285714286
0.06735614056733602,0.11670256291807957,1056,0.7614285714285716
0.2601826006710263,0.39491849438842275,206,0.7178571428571429
0.17077163567725462,0.9350252112366433,894,0.7928571428571427
0.09878526848434277,0.5208036197139291,77,0.7371428571428573
0.19187352473764796,0.6681521208300081,1332,0.7728571428571428
0.4596836637591428,0.8554219493788418,686,0.7107142857142859
0.31340602307006504,0.31629178972815997,854,0.5278571428571427
0.7482962156858013,0.8315221612405701,1288,0.5142857142857142
0.6287626983184426,0.8162018731149501,937,0.5692857142857142
0.2939712687009024,0.4772356275015641,382,0.722857142857143
0.3798520644238624,0.618951763625504,125,0.7264285714285715
0.36147660360777434,0.9159112563893625,1004,0.7442857142857142
0.22632878793212252,0.9719490472170167,446,0.777142857142857
0.45075525441188163,0.9750068990290361,1192,0.7092857142857144
0.6090016068820664,0.6412865893438182,962,nan
0.08995239822519657,0.10831561168609172,876,0.6771428571428573
0.02847065585110997,0.5150028535653455,248,0.8121428571428573
0.023043232349143405,0.6967040449868744,1200,0.8285714285714288
0.218746567459994,0.666533824236685,986,0.7707142857142856
0.04682032543072995,0.783133245646626,931,0.8314285714285715
0.1249250699333031,0.4448962764819979,745,0.8057142857142856
0.40207042494637724,0.8701514175123826,714,0.7221428571428572
0.22758842518356237,0.7813959745302504,844,0.7764285714285714
0.3046695758206266,0.4425114180404523,39,0.6957142857142857
0.4988034610233585,0.8336457188288285,867,0.6992857142857143
0.42367263179788534,0.8525320204241954,1255,0.7185714285714286
0.480102617245442,0.5773291302702472,888,0.5992857142857142
0.12418394418926171,0.2886908525382154,157,0.7928571428571427
0.20393816842076595,0.7883537239575604,241,0.7778571428571429
0.3127698316177523,0.625763087925915,1167,0.7535714285714287
0.002220820138900015,0.7689028199306728,1214,0.8192857142857142
0.39704097363033924,0.418878031232411,155,0.5407142857142856
0.3448868243639389,0.39491849438842275,677,0.6478571428571429
0.17077163567725462,0.4360440346380751,894,0.7649999999999999
0.7448066405368039,0.8915678359783632,595,0.5142857142857142
0.09878526848434277,0.3457395635774385,804,0.8035714285714286
0.19397903878602962,0.543747138287606,584,0.7692857142857144
0.1747386128902777,0.5585872475900284,662,0.7757142857142857
0.3796736152708537,0.5739979919196767,1394,0.68
0.20025185515476995,0.8944557844572363,999,0.7785714285714286
0.13474724408479438,0.47804135699010564,575,0.7985714285714285
0.0007910538956637514,0.7620152179435536,978,0.8192857142857142
0.42334317974038643,0.715552061936949,448,0.7192857142857142
0.2145494273289067,0.6103743261407236,427,0.7664285714285712
0.23353319358370006,0.6332055362756971,1010,0.7714285714285715
0.06967862640037592,0.6234637903013637,1273,0.8264285714285715
0.1572821479498112,0.6495516301870096,637,0.7914285714285716
0.15884332052097216,0.5105629688863039,717,0.7792857142857145
0.09484146681559746,0.7465341271887626,613,0.8242857142857141
0.2031217269451211,0.7558557748341683,658,0.7778571428571428
0.1658675557304613,0.6485294155900025,613,0.7835714285714286
0.3137146820999373,0.7503879759943195,328,0.7542857142857141
0.1781941450813409,0.783133245646626,931,0.7928571428571429
0.35318502815422753,0.4448962764819979,775,0.667142857142857
0.14899046114897796,0.5275181472055868,988,0.7807142857142856
0.06943368526249255,0.720754958083783,444,0.81
0.17465548494242722,0.5589507482915657,39,0.6885714285714287
0.14546033383128304,0.8336457188288285,1343,0.8035714285714286
0.0015388023763340808,0.4332025182547689,926,0.8085714285714284
0.5743991117022182,0.6052061123053811,866,0.6492857142857142
0.4042245207630645,0.5110504453131319,148,0.615
0.28105013469314055,0.6097866955030267,380,0.7578571428571427
0.023390792248632053,0.4847850998531912,241,0.8071428571428573
0.06412387361557598,0.33602192867430647,1167,0.8200000000000002
0.002220820138900015,0.7689028199306728,837,0.8249999999999998
0.012425052024606087,0.4839610815670503,1081,0.8028571428571426
0.6955970202428305,0.9350252112366433,499,0.5535714285714285
0.21046483584224873,0.7081366121327467,595,0.78
0.03597214156009376,0.602158230087234,613,0.8257142857142856
0.09716200941570857,0.5107056203640501,1332,0.8171428571428572
0.4088355091829044,0.717531187284406,1198,0.7250000000000002
0.05518245797566079,0.5585872475900284,662,0.8171428571428572
0.2320111206604616,0.48198661886810346,314,0.7371428571428571
0.38586572320077717,0.43146799649128487,403,0.6399999999999999
0.014692610740485668,0.8944557844572363,622,0.8271428571428571
0.42131536513069845,0.7178509337366024,937,0.7250000000000002
0.018969544244676118,0.731075630924146,575,0.8271428571428571
0.2939712687009024,0.5166025887500978,546,0.727857142857143
0.09716200941570857,0.5107056203640501,448,0.8142857142857142
0.23746475290449987,0.4575021266841618,196,0.7357142857142858
0.23353319358370006,0.6500782116402941,533,0.7714285714285715
0.03825455454945431,0.5526025985604358,415,0.8042857142857143
0.08207456865467011,0.5245409679421721,500,0.8007142857142857
0.3519151243337233,0.6139315477102605,734,0.7335714285714285
0.21113131501925897,0.7465341271887626,450,0.7757142857142856
0.2522135397632499,0.7558557748341683,520,0.7771428571428572
0.170610971104741,0.7199074822833726,986,0.7914285714285714
