min_df;max_df;max_features;Accuracy
0,060804073;0,168156408;288;0,82
0,067272168;0,157544887;885;0,82
0,058781905;0,286277854;244;0,82
0,136783704;0,707729009;1011;0,82
0,072037669;0,237132502;1092;0,82
0,052433284;0,139271238;765;0,82
0,135187048;0,912982894;1011;0,83
0,129591145;0,683043041;971;0,83
0,09317103;0,500653727;416;0,83
0,095523293;0,751061227;1213;0,83
0,140346809;0,818526206;1398;0,83
0,079322891;0,576502373;208;0,83
0,076740615;0,273712634;1027;0,83
0,098973303;0,411769183;1326;0,83
0,045158251;0,183022968;1194;0,83
0,103717604;0,299831494;1011;0,83
0,090133517;0,486338888;722;0,83
0,0571157;0,188591909;757;0,83
0,045841861;0,172655499;1255;0,83
0,126945115;0,555433243;248;0,83
0,126135286;0,763785323;1285;0,83
0,054929608;0,217639759;884;0,83
0,047852753;0,149188752;852;0,83
0,105509554;0,859115548;996;0,83
0,094299551;0,903869196;988;0,83
0,094717856;0,834857202;681;0,83
0,126945115;0,29017575;766;0,83
0,044500582;0,172233757;711;0,83
0,058582791;0,189220748;1012;0,83
0,053019595;0,217505318;789;0,83
0,083448229;0,70711248;1325;0,83
0,054630279;0,171696624;938;0,83
0,0383307;0,424406691;914;0,83
0,092389489;0,612640296;1264;0,83
0,055143493;0,533461302;343;0,83
0,013666963;0,534733962;416;0,83
0,117976369;0,476880079;538;0,83
0,094210099;0,406380643;983;0,83
0,053161353;0,887421196;320;0,83
0,061202081;0,210058375;689;0,83
0,064088495;0,184432491;867;0,83
0,034409323;0,201125504;1131;0,83
0,039341525;0,936501672;633;0,83
0,025130235;0,285083804;345;0,83
0,044866954;0,751061227;508;0,83
0,072170916;0,985161309;254;0,83
0,060309772;0,320126678;316;0,83
0,04634342;0,294418594;393;0,83
0,100028938;0,763785323;566;0,83
0,070170295;0,718831197;1310;0,83
0,049368425;0,723027276;246;0,83
0,103447723;0,669728437;817;0,84
0,047701468;0,171053284;746;0,84
0,053592051;0,226458002;893;0,84
0,129594443;0,463730578;878;0,84
0,096145758;0,648419598;791;0,84
0,034390559;0,451487694;416;0,84
0,025728932;0,569296711;390;0,84
0,070371917;0,920435674;429;0,84
0,071289151;0,545464267;442;0,84
0,053817565;0,212151603;873;0,84
0,110553623;0,647254813;1129;0,84
0,058564584;0,686595893;410;0,84
0,110165254;0,701104509;502;0,84
0,012688637;0,565935919;836;0,84
0,03307259;0,912690928;996;0,84
0,049222033;0,572996495;603;0,84
0,11180238;0,661360417;737;0,84
0,10341826;0,722190801;919;0,84
0,093206194;0,887117146;689;0,84
0,071378811;0,318703071;1249;0,84
0,051271902;0,584304778;504;0,84
0,080935323;0,745830543;899;0,84
0,03906777;0,63293837;200;0,84
0,045517718;0,864841015;329;0,84
0,001926221;0,912262462;258;0,84
0,059826716;0,414264325;1312;0,84
0,05410043;0,811988113;804;0,84
0,069676696;0,433854271;825;0,84
0,059766688;0,221018777;1365;0,84
0,073738987;0,892115415;509;0,84
0,059831399;0,803658296;268;0,84
0,051882661;0,257136961;542;0,84
0,027639474;0,230807027;780;0,84
0,114958547;0,707224131;1149;0,84
0,010127458;0,462253364;882;0,84
0,112341681;0,881088912;952;0,84
0,095869043;0,964472805;900;0,84
0,032743099;0,445301382;722;0,84
0,054870484;0,500578198;585;0,84
0,104258028;0,894774144;1338;0,84
0,103150554;0,897066061;1134;0,84
0,103477153;0,806166315;1114;0,84
0,089689298;0,46805369;859;0,84
0,066605512;0,263528732;928;0,84
0,103333343;0,847904261;1296;0,84
0,054306562;0,8818192;801;0,84
0,045351491;0,576735795;665;0,84
0,078325615;0,552830854;1216;0,84
0,069769786;0,533445003;1204;0,84
0,056228115;0,184396817;747;0,84
0,038736647;0,162525576;1284;0,84
0,06222418;0,306933302;455;0,84
0,017566055;0,572722419;660;0,84
0,064378847;0,611128005;418;0,84
0,036139068;0,589998952;1258;0,84
0,046270834;0,591382819;772;0,84
0,050695655;0,886707588;435;0,84
0,05140969;0,900256685;427;0,84
0,057823408;0,582755159;636;0,84
0,072744934;0,767443713;333;0,84
0,044694298;0,936315223;676;0,84
0,05195439;0,819066568;326;0,84
0,049745712;0,592716386;543;0,84
0,072037669;0,967399491;1092;0,84
0,072126835;0,934719506;1279;0,84
0,072037669;0,907352514;737;0,84
0,034726111;0,260665242;1153;0,84
0,066258247;0,5651495;679;0,84
0,052540273;0,963780116;321;0,84
0,049998168;0,751067812;570;0,84
0,051220518;0,474784527;843;0,84
0,076775183;0,488864251;908;0,84
0,105112387;0,669383681;1161;0,84
0,071769419;0,706889276;1029;0,84
0,092502188;0,911402729;878;0,84
0,043771077;0,923581334;617;0,84
0,045629;0,767841956;542;0,84
0,054538616;0,49804271;1152;0,84
0,064546353;0,459185277;1240;0,84
0,054458243;0,732830406;465;0,84
0,049919938;0,916016807;400;0,84
0,065905814;0,378959241;1176;0,84
0,027167623;0,95723104;591;0,84
0,081730856;0,879228451;870;0,84
0,048378521;0,621664264;501;0,84
0,005440367;0,353755235;772;0,84
0,033832475;0,47947808;1018;0,84
0,071533014;0,703457385;396;0,84
0,101870194;0,95012689;675;0,84
0,07871032;0,598248147;756;0,84
0,073941543;0,611936429;1154;0,84
0,0457835;0,845005208;543;0,84
0,074141357;0,758553468;414;0,84
0,049331139;0,914732885;285;0,84
0,052683293;0,936703829;285;0,84
0,055143493;0,826187634;456;0,84
0,049594549;0,600919854;286;0,84
0,060603625;0,977873106;285;0,84
0,078325615;0,981210732;516;0,84
0,040237182;0,184260596;1103;0,84
0,088431077;0,778492166;673;0,84
0,064169406;0,848565554;510;0,84
0,047283517;0,651834452;416;0,84
0,053431418;0,293299645;1214;0,84
0,043742498;0,861227551;486;0,84
0,047140478;0,872834707;480;0,84
0,040595088;0,868252997;725;0,84
0,051980172;0,187591336;1079;0,84
0,079339998;0,874524268;1339;0,84
0,128196675;0,885651188;959;0,84
0,079364197;0,835396149;848;0,84
0,025352113;0,74588505;1005;0,84
0,087757231;0,889736979;1180;0,84
0,084662874;0,940380058;679;0,84
0,038279889;0,985771389;551;0,84
0,02778755;0,991142191;1189;0,84
0,065445824;0,641834059;687;0,84
0,04820018;0,788418101;591;0,84
0,043146492;0,780940577;422;0,84
0,0589008;0,259176281;791;0,84
0,045807161;0,855210686;599;0,84
0,050761926;0,739142194;635;0,84
0,003437542;0,411769183;791;0,84
0,075273479;0,54348241;1313;0,84
0,066979024;0,565935919;1023;0,84
0,044689573;0,886929257;376;0,84
0,040558097;0,903869196;425;0,84
0,066240124;0,882762879;308;0,84
0,057697932;0,712026496;868;0,84
0,055037766;0,833567362;583;0,84
0,040014206;0,75809734;735;0,84
0,048852292;0,875460094;575;0,84
0,025550459;0,279777247;711;0,84
0,095532092;0,492865002;857;0,84
0,045802062;0,775744159;659;0,84
0,045720724;0,766009633;495;0,84
0,048650422;0,534662439;583;0,84
0,05549999;0,780940577;527;0,84
0,056123002;0,786637832;444;0,84
0,096101074;0,545126531;1167;0,84
0,055055946;0,759112339;715;0,84
0,054601545;0,876350223;528;0,84
0,041997544;0,776802517;616;0,84
0,051175092;0,963741908;673;0,84
0,054511775;0,922263566;528;0,84
0,047075676;0,909438166;654;0,84
0,049920697;0,904547746;411;0,84
0,051281339;0,903441541;673;0,84
0,055034822;0,808317686;576;0,84
0,050547364;0,950304779;355;0,84
0,054286605;0,853738248;355;0,84
0,100464137;0,806166315;1114;0,84
0,005864999;0,807117612;486;0,84
0,101387163;0,881088912;780;0,84
0,100464137;0,806166315;661;0,84
0,027211378;0,4295089;529;0,84
0,100464137;0,876864265;661;0,84
0,015895071;0,878836006;833;0,84
0,047140478;0,799695047;744;0,84
0,053747038;0,209648747;632;0,84
0,041572273;0,559988007;1323;0,84
0,041572273;0,559988007;1323;0,84
0,056536907;0,249076885;900;0,84
0,053163331;0,996813246;920;0,84
0,076740615;0,604755014;670;0,84
0,076740615;0,604755014;1389;0,84
0,075273479;0,405474439;1313;0,84
0,112485527;0,701104509;1149;0,84
0,066465379;0,95017105;1271;0,84
0,073158049;0,925256779;1165;0,84
0,09687144;0,936046508;827;0,84
0,056232335;0,888651868;431;0,84
0,043742498;0,894064635;778;0,84
0,048464725;0,716236572;675;0,84
0,042601409;0,711489336;354;0,84
0,069725478;0,873854024;583;0,84
0,041532092;0,847255824;306;0,84
0,042020593;0,551976664;677;0,84
0,05265861;0,682330088;380;0,84
0,05265861;0,682330088;380;0,84
0,06628189;0,75930202;963;0,84
0,062982006;0,858506222;557;0,84
0,054496186;0,97533096;767;0,84
0,052106021;0,196228518;1095;0,84
0,058152629;0,561673584;804;0,84
0,066608368;0,977873106;808;0,84
0,047952657;0,998579229;687;0,84
0,052672536;0,885397143;627;0,84
0,079236051;0,670745286;625;0,84
0,071425139;0,536365657;828;0,84
0,088857661;0,633514798;1016;0,84
0,030577978;0,554881449;1193;0,84
0,048353882;0,402722859;789;0,84
0,046863936;0,633206328;525;0,84
0,05471702;0,398715679;663;0,84
0,047645169;0,758453575;809;0,84
0,058972519;0,945081476;722;0,84
0,014983481;0,339095474;1187;0,84
0,062424439;0,733030635;765;0,84
0,043249613;0,879707126;1078;0,84
0,044669265;0,805198058;603;0,84
0,041952903;0,692554207;594;0,84
0,052301255;0,759378001;591;0,84
0,038675575;0,941622281;626;0,84
